"country","year","polityIV"
"Albania",2008,17.8
"Algeria",2008,10
"Angola",2008,8
"Argentina",2008,18
"Armenia",2008,15
"Australia",2008,20
"Austria",2008,20
"Azerbaijan",2008,3
"Bahrain",2008,3
"Bangladesh",2008,16
"Belarus",2008,3
"Belgium",2008,20
"Benin",2008,16.2
"Bhutan",2008,2
"Bolivia",2008,18.2
"Botswana",2008,19
"Brazil",2008,18
"Bulgaria",2008,19
"Burkina Faso",2008,10
"Cambodia",2008,12
"Cameroon",2008,6
"Canada",2008,20
"Central African Republic",2008,10.2
"Chad",2008,8
"Chile",2008,19.2
"China",2008,3
"Colombia",2008,17
"Comoros",2008,15.8
"Congo Brazzaville",2008,6
"Congo Kinshasa",2008,15
"Costa Rica",2008,20
"Croatia",2008,18.4
"Cuba",2008,3
"Czech Republic",2008,20
"Denmark",2008,20
"Djibouti",2008,12
"Ecuador",2008,16.2
"Egypt",2008,4
"El Salvador",2008,17
"Equatorial Guinea",2008,5
"Eritrea",2008,3
"Estonia",2008,16
"Fiji",2008,13.8
"Finland",2008,20
"France",2008,19
"Gabon",2008,6
"Gambia",2008,5
"Georgia",2008,15.666667
"Germany",2008,20
"Ghana",2008,16.666667
"Greece",2008,20
"Guatemala",2008,18
"Guinea",2008,9
"Guinea-Bissau",2008,11
"Guyana",2008,16
"Haiti",2008,8
"Honduras",2008,17
"Hungary",2008,20
"India",2008,19
"Indonesia",2008,16.666667
"Iran",2008,10
"Iraq",2008,1
"Ireland",2008,20
"Israel",2008,20
"Italy",2008,20
"Jamaica",2008,19
"Japan",2008,20
"Jordan",2008,8
"Kazakhstan",2008,4
"Kenya",2008,18
"Korea South",2008,18
"Kuwait",2008,3
"Kyrgyzstan",2008,7
"Laos",2008,3
"Latvia",2008,18
"Lesotho",2008,18
"Liberia",2008,10
"Libya",2008,3
"Lithuania",2008,20
"Macedonia",2008,19
"Madagascar",2008,17
"MALAWI",2008,15
"Malaysia",2008,13
"Mali",2008,16
"Mauritania",2008,4
"Mauritius",2008,20
"Mexico",2008,18
"Moldova",2008,18
"Mongolia",2008,20
"Morocco",2008,4
"Mozambique",2008,16
"Namibia",2008,16
"Nepal",2008,4
"Netherlands",2008,20
"New Zealand",2008,20
"Nicaragua",2008,18
"Niger",2008,15.333333
"Nigeria",2008,14
"Norway",2008,20
"Oman",2008,2
"Pakistan",2008,5
"Papua New Guinea",2008,20
"Paraguay",2008,17.666667
"Peru",2008,19
"Philippines",2008,18
"Poland",2008,20
"Portugal",2008,20
"Qatar",2008,0
"Romania",2008,18.333333
"Russia",2008,17
"Rwanda",2008,6.6666667
"Saudi Arabia",2008,0
"Senegal",2008,18
"Sierra Leone",2008,15
"Singapore",2008,8
"Slovakia",2008,19
"Slovenia",2008,20
"Solomon Islands",2008,18
"South Africa",2008,19
"Spain",2008,20
"Sri Lanka",2008,15.333333
"Sudan",2008,4
"Swaziland",2008,1
"Sweden",2008,20
"Switzerland",2008,20
"Taiwan",2008,19.333333
"Tajikistan",2008,7.6666667
"Tanzania",2008,11
"Thailand",2008,19
"Togo",2008,8
"Tunisia",2008,6
"Turkey",2008,17
"Turkmenistan",2008,1
"UAE",2008,2
"Uganda",2008,6
"Ukraine",2008,16
"United Kingdom",2008,20
"United States of America",2008,20
"Uruguay",2008,20
"Uzbekistan",2008,1
"Venezuela",2008,16
"Vietnam",2008,3
"Yemen",2008,8
"Zambia",2008,15
"Zimbabwe",2008,6
"Albania",2009,17
"Algeria",2009,9
"Angola",2009,9
"Argentina",2009,18
"Armenia",2009,16
"Australia",2009,20
"Austria",2009,19
"Azerbaijan",2009,4
"Bahrain",2009,3
"Bangladesh",2009,14
"Belarus",2009,3
"Belgium",2009,18
"Benin",2009,16
"Bhutan",2009,2
"Bolivia",2009,19
"Botswana",2009,19
"Brazil",2009,19
"Bulgaria",2009,19
"Burkina Faso",2009,8
"Cambodia",2009,12
"Cameroon",2009,7
"Canada",2009,20
"Central African Republic",2009,11
"Chad",2009,9
"Chile",2009,19
"China",2009,2
"Colombia",2009,17
"Comoros",2009,15
"Congo Brazzaville",2009,6
"Congo Kinshasa",2009,14
"Costa Rica",2009,19
"Croatia",2009,18
"Cuba",2009,0
"Czech Republic",2009,20
"Denmark",2009,20
"Djibouti",2009,12
"Ecuador",2009,17
"Egypt",2009,6
"El Salvador",2009,16
"Equatorial Guinea",2009,4
"Eritrea",2009,2
"Estonia",2009,17
"Fiji",2009,14
"Finland",2009,20
"France",2009,18
"Gabon",2009,5
"Gambia",2009,6
"Georgia",2009,16
"Germany",2009,20
"Ghana",2009,17
"Greece",2009,20
"Guatemala",2009,18
"Guinea",2009,8
"Guinea-Bissau",2009,13
"Guyana",2009,16
"Haiti",2009,9
"Honduras",2009,18
"Hungary",2009,18
"India",2009,19
"Indonesia",2009,15
"Iran",2009,11
"Iraq",2009,3
"Ireland",2009,19
"Israel",2009,20
"Italy",2009,18
"Jamaica",2009,19
"Japan",2009,20
"Jordan",2009,10
"Kazakhstan",2009,3
"Kenya",2009,18
"Korea South",2009,18
"Kuwait",2009,1
"Kyrgyzstan",2009,6
"Laos",2009,2
"Latvia",2009,20
"Lesotho",2009,17
"Liberia",2009,10
"Libya",2009,4
"Lithuania",2009,19
"Macedonia",2009,18
"Madagascar",2009,17
"MALAWI",2009,16
"Malaysia",2009,13
"Mali",2009,15
"Mauritania",2009,3
"Mauritius",2009,20
"Mexico",2009,18
"Moldova",2009,19
"Mongolia",2009,19
"Morocco",2009,6
"Mozambique",2009,17
"Namibia",2009,16
"Nepal",2009,3
"Netherlands",2009,20
"New Zealand",2009,20
"Nicaragua",2009,18
"Niger",2009,17
"Nigeria",2009,15
"Norway",2009,19
"Oman",2009,2
"Pakistan",2009,4
"Papua New Guinea",2009,20
"Paraguay",2009,17
"Peru",2009,18
"Philippines",2009,18
"Poland",2009,18
"Portugal",2009,20
"Qatar",2009,3
"Romania",2009,19
"Russia",2009,16
"Rwanda",2009,7
"Saudi Arabia",2009,0
"Senegal",2009,17
"Sierra Leone",2009,15
"Singapore",2009,6
"Slovakia",2009,18
"Slovenia",2009,19
"Solomon Islands",2009,18
"South Africa",2009,19
"Spain",2009,20
"Sri Lanka",2009,16
"Sudan",2009,3
"Swaziland",2009,1
"Sweden",2009,20
"Switzerland",2009,20
"Taiwan",2009,18
"Tajikistan",2009,9
"Tanzania",2009,12
"Thailand",2009,17
"Togo",2009,8
"Tunisia",2009,5
"Turkey",2009,18
"Turkmenistan",2009,0
"UAE",2009,2
"Uganda",2009,6
"Ukraine",2009,18
"United Kingdom",2009,20
"United States of America",2009,19
"Uruguay",2009,20
"Uzbekistan",2009,0
"Venezuela",2009,15
"Vietnam",2009,5
"Yemen",2009,9
"Zambia",2009,13
"Zimbabwe",2009,7
